Primary Name	Arrival_Date	PIC tier	Ammonia (NH3) as Nitrogen (N)	Barometric pressure	Dissolved Oxygen	Dissolved Oxygen Percent Saturation	Fecal Coliform	Flow	Nitrate as N	Nitrite as N	pH	Phosphate as P	Precipitation	Precipitation (24 hour)	Salinity	Silicate as Si	Specific Conductivity (at 25 deg C)	Stream/River Stage	"Temperature, water"	Total Persulfate Nitrogen	Total Persulfate Phosphorus	Turbidity
Agnew Creek/Ditch 0.3	11/24/2015	2		29.87	11.9		623				7.8				0.1		231	0.57	6.5			37
Agnew Creek/Ditch 0.3	1/26/2016	2					135								0.1		225	0.64	6.6			
Agnew Creek/Ditch 0.3	4/12/2016	2		29.9	12.4		28				8.7				0.1		235	0.25	11.8			5
Agnew Creek/Ditch 0.3	8/16/2016	2		29.95	9.6		87				8				0.1		176	0.42	17.3			4
Agnew Creek/Ditch 0.3	11/15/2016	2		29.65	11.4	101	101				8.1				0.1		247	0.25	9.7			5
Agnew Creek/Ditch 0.3	1/10/2017	2		29.55	13.4	99	47				8				0.1		269	0.22	2.3			14
Agnew Creek/Ditch 0.3	4/18/2017	2		29.79	12.8	116	44				8.6				0.1		183	0.44	10.5			5
Agnew Creek/Ditch 0.3	8/15/2017	2		29.85	9.8	95	47				7.9				0.1		148	0.46	14.1			4
Agnew Creek/Ditch 0.3	11/14/2017	2		29.71	11.3	93	23				7.9				0.1		257	0.28	6.8			7
Agnew Creek/Ditch 0.3	1/9/2018	2		29.48	11.7	95	8								0.1		253	0.38	5.7			11
Agnew Creek/Ditch 0.3	4/17/2018	2		30.02	12.1	102	53				8				0.1		222	0.34	8.2			9
Agnew Creek/Ditch 0.3	8/14/2018	2		29.81	8.8	88	55				7.8				0.1		172	0.45	15.2			1.5
Agnew Creek/Ditch 0.3	11/14/2018	2		30.08	11.3	93	7				7.8				0.1		255	0.22	7.2			6
Agnew Creek/Ditch 0.3	1/8/2019	2		29.78	12.6	96	75				7.7				0.1		229	0.52	3.8			14
Agnew Creek/Ditch 0.3	4/22/2019	2		30.1	11.6	103	13				7.9				0.1		179	0.69	9.7			3
Agnew Creek/Ditch 0.3	8/13/2019	2		29.96	9.5	95	246				7.7				0.1		164	2.28	15.6			2
Agnew Creek/Ditch 0.3	11/19/2019	2		29.73	10.8	94	100				7.6				0.1		215	0.6	8.7			12
Agnew Creek/Ditch 0.3	1/22/2020	2		29.74	12.4	95	114				7.2				0.1		218	0.7	4.2			
Agnew Creek/Ditch 0.3	4/20/2020	2		29.95	12.2	112	33				8				0.1		179	0.4	11.2			2
Agnew Creek/Ditch 0.3	8/18/2020	2		29.95	9	91	264								0.1		175	0.5	16			4
Agnew Creek/Ditch 0.3	11/17/2020	2		29.03	10.9	92	176				7.7				0.1		225	1.95	7.1			13
Agnew Creek/Ditch 0.3	1/26/2021	2		29.37	13.6	101	34				8.1				0.1		241	0.18	2.2			17
Agnew Creek/Ditch 0.3	4/20/2021	2		30.03	12.2	117	10				8.5				0.1		186	0.2	13.7			6
Agnew Creek/Ditch 0.3	8/10/2021	2		29.94	10.4	108	37				8.2				0.1		168	0.48	16.9			2
Agnew Creek/Ditch 0.3	11/16/2021	2		30.16	11.9	98	179				7.5				0.1		254	4.48	7.3			13
Agnew Creek/Ditch 0.3	1/11/2022	2		29.97	12.9	99	43				7.6				0.1		239	0.45	4.4			13
Agnew Creek/Ditch 0.3	5/26/2022	2		29.68	10.9	100	18				8				0.1		158	0.3	11.1			9
Agnew Creek/Ditch 0.3	8/9/2022	2		29.78	9.8	98	137				7.5				0.1		124	0.28	15.2			3
Agnew Creek/Ditch 0.3	11/16/2022	2		30.31	12.6	100	70				8.2				0.1		272	0.12	5.9			3
Agnew Creek/Ditch 0.3	1/10/2023	2		29.45	12.6	99	116				8				0.1		268	0.22	4.5			8
Agnew Creek/Ditch 0.3	4/11/2023	2		29.8	12.8	75	8				8.3				0.1		266	0.2	8.2			2
Agnew Creek/Ditch 0.3	8/15/2023	2		29.82	8.8	93	61				7.8				0.1		179	0.2	18			2
Agnew Creek/Ditch 0.3	11/14/2023	2		29.89	12.6	99	22				8				0.1		269	0.16	5.3			3
Agnew Creek/Ditch 0.3	1/11/2024	2		29.57	12.7	98	276				7.9				0.1		289	0.28	3.7			9
Agnew Creek/Ditch 0.3	3/12/2024	2		29.63	13	106	20				8.4				0.1		261	0.28	6.3			6
Agnew Creek/Ditch 0.3	4/2/2024	2		29.97	12.3	110	84				8.3				0.1		263	0.3	10.3			4
Agnew Creek/Ditch 0.3	5/14/2024	2		30.03	11.7	107	84				8.2				0.1		159	0.3	11.5			2
Agnew Creek/Ditch 0.3	6/11/2024	2		29.81	10.3	98	36				7.9				0.1		149	0.4	13			3
Agnew Creek/Ditch 0.3	7/9/2024	2		29.7	9.4	101	148				8				0.1		139	0.26	18.5			2
Agnew Creek/Ditch 0.3	8/13/2024	2		29.96	9.3	93	74				7.7				0.1		196	0.34	15.2			1
Agnew Creek/Ditch 0.3	9/17/2024	2		29.75	10.2	95	32				8.1				0.1		262	0.24	12.2			1
Agnew Creek/Ditch 0.3	10/8/2024	2		29.9	10.7	97	90				8				0.1		270	0.22	11.1			1
Agnew Creek/Ditch 0.3	11/12/2024	2		29.82	11.2	96	20				8				0.1		234	0.3	8.3			4
Agnew Creek/Ditch 0.3	12/10/2024	2		30.32	12.3	96	2				8.1				0.1		287	0.28	5.2			8
Bagley 0.7a	11/24/2015	2		29.89	12.6		346				7.6				0		94		5.5			66
Bagley 0.7a	1/26/2016	2					4								0.1		114	-12.36	5.9			
Bagley 0.7a	4/12/2016	2		29.94	11.1		14				7.9				0.1		189	-12.52	9.3			2
Bagley 0.7a	8/16/2016	2		29.96	9.9	99	62				7.9				0.1		246	-12.13	13.5			1
Bagley 0.7a	11/15/2016	2		29.67	11	96	3				8				0.1		209	-12.4	8.9			2
Bagley 0.7a	1/10/2017	2		29.55	13.6	99	16				7.8				0.1		210	-12.41	1.7			10
Bagley 0.7a	4/18/2017	2		29.83	11.1	98	2				8				0.1		147	-12.4	9.7			5
Bagley 0.7a	8/15/2017	2		29.86	10.3	96	12				8				0.1		250	-12.6	12			1
Bagley 0.7a	11/14/2017	2		29.7	12.1	100	40				7.7				0.1		119	-12.08	6.6			16
Bagley 0.7a	1/9/2018	2		29.5	12.6	100	4								0.1		118	-12.18	5			7
Bagley 0.7a	4/17/2018	2		30.03	12.3	101	26				7.8				0		108	-12.32	7			11
Bagley 0.7a	8/14/2018	2		29.81	10	97	38				8				0.1		248	-12.45	13.6			1
Bagley 0.7a	11/14/2018	2		30.1	11.6	96	2				7.8				0.1		237	-12.5	7			1
Bagley 0.7a	1/8/2019	2		29.76	13.2	101	16				7.7				0		116	-12.3	3.8			10
Bagley 0.7a	4/22/2019	2		30.1	11.6	91	8				7.8				0.1		153	-12.7	8.8			3
Bagley 0.7a	8/13/2019	2		29.97	10.2	98	52				7.8				0.1		248	-12.48	13.5			1
Bagley 0.7a	11/19/2019	2		29.75	11.5	98	66				7.6				0.1		197	-12.2	8.2			8
Bagley 0.7a	1/22/2020	2		29.74	13.4	101	16				7.2				0		88	-11.46	3.4			82
Bagley 0.7a	4/20/2020	2		29.96	11.4	99	4				8				0.1		203	-12.4	9.3			1
Bagley 0.7a	8/18/2020	2		29.97	9.9	96	42								0.1		252	-13.1	13.9			3
Bagley 0.7a	11/17/2020	2		29.12	11.5	98	92				7.7				0.1		199	-15.4	7.2			28
