ActivityIdentifier,ActivityTypeCode,ActivityMediaName,OrganizationIdentifier,StartDate,StartTime,ProjectIdentifier,MonitoringLocationIdentifier,SubmitData
Ag Cr 0.3-20151124-SR,Sample-Routine,Water,ClallamCoDCD,2015-11-24,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20160126-SR,Sample-Routine,Water,ClallamCoDCD,2016-01-26,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20160412-SR,Sample-Routine,Water,ClallamCoDCD,2016-04-12,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20160816-SR,Sample-Routine,Water,ClallamCoDCD,2016-08-16,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20161115-SR,Sample-Routine,Water,ClallamCoDCD,2016-11-15,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20170110-SR,Sample-Routine,Water,ClallamCoDCD,2017-01-10,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20170418-SR,Sample-Routine,Water,ClallamCoDCD,2017-04-18,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20170815-SR,Sample-Routine,Water,ClallamCoDCD,2017-08-15,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20171114-SR,Sample-Routine,Water,ClallamCoDCD,2017-11-14,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20180109-SR,Sample-Routine,Water,ClallamCoDCD,2018-01-09,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20180417-SR,Sample-Routine,Water,ClallamCoDCD,2018-04-17,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20180814-SR,Sample-Routine,Water,ClallamCoDCD,2018-08-14,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20181114-SR,Sample-Routine,Water,ClallamCoDCD,2018-11-14,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20190108-SR,Sample-Routine,Water,ClallamCoDCD,2019-01-08,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20190422-SR,Sample-Routine,Water,ClallamCoDCD,2019-04-22,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20190813-SR,Sample-Routine,Water,ClallamCoDCD,2019-08-13,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20191119-SR,Sample-Routine,Water,ClallamCoDCD,2019-11-19,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20200122-SR,Sample-Routine,Water,ClallamCoDCD,2020-01-22,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20200420-SR,Sample-Routine,Water,ClallamCoDCD,2020-04-20,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20200818-SR,Sample-Routine,Water,ClallamCoDCD,2020-08-18,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20201117-SR,Sample-Routine,Water,ClallamCoDCD,2020-11-17,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20210126-SR,Sample-Routine,Water,ClallamCoDCD,2021-01-26,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20210420-SR,Sample-Routine,Water,ClallamCoDCD,2021-04-20,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20210810-SR,Sample-Routine,Water,ClallamCoDCD,2021-08-10,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20211116-SR,Sample-Routine,Water,ClallamCoDCD,2021-11-16,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20220111-SR,Sample-Routine,Water,ClallamCoDCD,2022-01-11,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20220526-SR,Sample-Routine,Water,ClallamCoDCD,2022-05-26,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20220809-SR,Sample-Routine,Water,ClallamCoDCD,2022-08-09,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20221116-SR,Sample-Routine,Water,ClallamCoDCD,2022-11-16,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
Ag Cr 0.3-20230110-SR,Sample-Routine,Water,ClallamCoDCD,2023-01-10,12:00:00,ClallamTrendsPIC,Ag Cr 0.3,1
