ActivityIdentifier,OrganizationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,ResultStatusName,ResultValueTypeName,SubmitData
Ag Cr 0.3-20151124-SR,ClallamCoDCD,"Temperature, water",6.5,deg C,Final,Actual,1
Ag Cr 0.3-20151124-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
Ag Cr 0.3-20151124-SR,ClallamCoDCD,Dissolved oxygen (DO),11.9,mg/l,Final,Actual,1
Ag Cr 0.3-20151124-SR,ClallamCoDCD,Specific conductance,231,mS/cm,Final,Actual,1
Ag Cr 0.3-20151124-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20151124-SR,ClallamCoDCD,Turbidity,37,FNU,Final,Actual,1
Ag Cr 0.3-20151124-SR,ClallamCoDCD,Fecal Coliform,623,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20151124-SR,ClallamCoDCD,Gage height,0.57,ft,Final,Actual,1
Ag Cr 0.3-20160126-SR,ClallamCoDCD,"Temperature, water",6.6,deg C,Final,Actual,1
Ag Cr 0.3-20160126-SR,ClallamCoDCD,Specific conductance,225,mS/cm,Final,Actual,1
Ag Cr 0.3-20160126-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20160126-SR,ClallamCoDCD,Fecal Coliform,135,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20160126-SR,ClallamCoDCD,Gage height,0.64,ft,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,"Temperature, water",11.8,deg C,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,pH,8.7,None,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,Dissolved oxygen (DO),12.4,mg/l,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,Specific conductance,235,mS/cm,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,Fecal Coliform,28,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20160412-SR,ClallamCoDCD,Gage height,0.25,ft,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,"Temperature, water",17.3,deg C,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,Dissolved oxygen (DO),9.6,mg/l,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,Specific conductance,176,mS/cm,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,Fecal Coliform,87,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20160816-SR,ClallamCoDCD,Gage height,0.42,ft,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,"Temperature, water",9.7,deg C,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,pH,8.1,None,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,Dissolved oxygen (DO),11.4,mg/l,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,Specific conductance,247,mS/cm,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,Fecal Coliform,101,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20161115-SR,ClallamCoDCD,Gage height,0.25,ft,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,"Temperature, water",2.3,deg C,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,Dissolved oxygen (DO),13.4,mg/l,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,Specific conductance,269,mS/cm,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,Turbidity,14,FNU,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,Fecal Coliform,47,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20170110-SR,ClallamCoDCD,Gage height,0.22,ft,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,"Temperature, water",10.5,deg C,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,pH,8.6,None,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,Dissolved oxygen (DO),12.8,mg/l,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,Specific conductance,183,mS/cm,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,Fecal Coliform,44,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20170418-SR,ClallamCoDCD,Gage height,0.44,ft,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,"Temperature, water",14.1,deg C,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,Dissolved oxygen (DO),9.8,mg/l,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,Specific conductance,148,mS/cm,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,Fecal Coliform,47,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20170815-SR,ClallamCoDCD,Gage height,0.46,ft,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,"Temperature, water",6.8,deg C,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,Dissolved oxygen (DO),11.3,mg/l,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,Specific conductance,257,mS/cm,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,Turbidity,7,FNU,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,Fecal Coliform,23,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20171114-SR,ClallamCoDCD,Gage height,0.28,ft,Final,Actual,1
Ag Cr 0.3-20180109-SR,ClallamCoDCD,"Temperature, water",5.7,deg C,Final,Actual,1
Ag Cr 0.3-20180109-SR,ClallamCoDCD,Dissolved oxygen (DO),11.7,mg/l,Final,Actual,1
Ag Cr 0.3-20180109-SR,ClallamCoDCD,Specific conductance,253,mS/cm,Final,Actual,1
Ag Cr 0.3-20180109-SR,ClallamCoDCD,Salinity,0.1,ppt,Final,Actual,1
Ag Cr 0.3-20180109-SR,ClallamCoDCD,Turbidity,11,FNU,Final,Actual,1
Ag Cr 0.3-20180109-SR,ClallamCoDCD,Fecal Coliform,8,cfu/100ml,Final,Actual,1
Ag Cr 0.3-20180109-SR,ClallamCoDCD,Gage height,0.38,ft,Final,Actual,1
Ag Cr 0.3-20180417-SR,ClallamCoDCD,"Temperature, water",8.2,deg C,Final,Actual,1
Ag Cr 0.3-20180417-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
